time,cumulative_moles_precipitated_Albite,cumulative_moles_precipitated_Anhydrite,cumulative_moles_precipitated_Barite,cumulative_moles_precipitated_Calcite,cumulative_moles_precipitated_Celestite,cumulative_moles_precipitated_Chalcedony,cumulative_moles_precipitated_Dolomite,cumulative_moles_precipitated_Fluorite,cumulative_moles_precipitated_Goethite,cumulative_moles_precipitated_Illite,cumulative_moles_precipitated_K-feldspar,cumulative_moles_precipitated_Kaolinite,cumulative_moles_precipitated_Pyrrhotite,cumulative_moles_precipitated_Quartz,cumulative_moles_precipitated_Siderite,mass_heated_this_timestep,production_temperature
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10000,0,0,8.3392455999017e-10,0.00024591420948559,0,0,1.0049518278634e-05,0,0,0,1.515210004343e-06,0,1.8374362524857e-06,2.1162303018054e-05,6.6736231731723e-06,1999999.9709178,92
20000,0,6.0789647698947,1.6678632428905e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,4.7211123419834e-05,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1999172.3830549,92.003314984896
30000,0,17.461791456011,1.5739718586739e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,9.506486541508e-05,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1998450.3569389,92.008520385157
40000,0,33.446087422753,1.4800804826971e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1997823.9269264,92.013987538621
50000,0,53.399473912381,1.3861890711586e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1997283.5938512,92.019530014858
60000,0,76.755886477556,1.2922976153846e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1996820.3140485,92.02511091928
70000,0,103.0117826591,1.198406217507e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1996425.5853078,92.030717449712
80000,0,131.72223256158,1.1045148393619e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1996091.4282551,92.03634258819
90000,0,162.49757188446,1.0106234889723e-09,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1995810.3191652,92.041981239594
100000,0,195.00174438049,9.1673212123554e-10,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,1995574.9599662,92.047629223617
200000,0,534.49319896295,8.7781848116428e-10,0.00049182842289285,0,0,2.0099016657548e-05,0,0,0,3.0303824324772e-06,0.00013140766073793,3.6748495915154e-06,4.2324648073288e-05,1.334726485529e-05,19953782.44815,92.053282971304
300000,0,873.98179729238,8.7781848116428e-10,0.0019957591265399,0,0,0.00013024102825409,0,0,0,1.3264645012927e-05,0.00013140766073793,1.598647085599e-05,0.00018323977444324,9.9717644915284e-05,19953782.643843,92.109114027068
400000,0,1213.4652339183,8.7781848116428e-10,0.002839517073118,0,0,0.0004327527676068,0,0,0,2.3438971845421e-05,0.00013140766073793,2.8199599436845e-05,0.00032010795972597,0.000373443577464,19953783.355704,92.163826902725
500000,0,1552.9340652232,8.7781848116428e-10,0.002839517073118,0,0,0.00091169442893814,0,0,0,3.3623835107492e-05,0.00013140766073793,4.0210405655217e-05,0.00044805912438309,0.00099126527175226,19953785.356637,92.217299984907
600000,0,1892.3709427729,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,4.3829101578855e-05,0.00013140766073793,5.1917573624125e-05,0.00056204995465018,0.0020266643140214,19953789.710302,92.269514504148
700000,0,2231.7496668783,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,5.4521830464284e-05,0.00013140766073793,6.3767574691559e-05,0.00066238826154774,0.0034889237031716,19953797.615631,92.320485503728
800000,0,2571.0333857403,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,6.5247905048796e-05,0.00013140766073793,7.5146974648307e-05,0.00073795257757983,0.0051385808905007,19953810.529223,92.370238666538
900000,0,2910.1739849799,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,7.6023096856067e-05,0.00013140766073793,8.5817359106559e-05,0.00077620153413821,0.0070705262426998,19953829.982766,92.418802698305
1000000,0,3249.1114563502,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,8.676398964755e-05,0.00013140766073793,9.5481954973541e-05,0.00077620153413821,0.0094033321840552,19953857.592054,92.466206836252
2000000,0,6635.736002423,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,0.038166579789298,199538949.69431,92.512480034769
3000000,0,9891.5392329957,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,0.32524231208988,199556729.50259,92.885455647065
4000000,0,12936.29571507,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,1.0269412054104,199585412.86376,93.187310804735
5000000,0,15728.84972204,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,2.2158406371806,199619690.65823,93.43290003189
6000000,0,18261.763622264,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,3.8880783785371,199654981.44149,93.634068768962
7000000,0,20549.472644093,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,5.9871847989714,199688313.58976,93.800275119907
7760000,0,22121.068922129,8.7781848116428e-10,0.002839517073118,0,0,0.0011136452932078,0,0,0,0.00019002633809965,0.00013140766073793,0.00017852548438588,0.00077620153413821,7.8431339870396,151785831.63131,93.939086462913
