time,bottomLeft_pp,bottomRight_pp,topLeft_pp,topRight_pp
0,0,0,0,0
0.01,0.0011998442871133,0.10659769537608,0.004274895205634,0.11969514886613
0.02,-0.00052723455493707,0.098596172130279,0.0061924835513277,0.12631173556781
0.03,-0.0023892938578567,0.09041704963714,0.0084541964053508,0.13356129291668
0.04,-0.0043723160498142,0.082272097419769,0.011008125146376,0.14131944361435
0.05,-0.006481917820564,0.074293408047621,0.013796701361687,0.14955790647201
0.06,-0.0087268588067878,0.066560057647272,0.016768214796511,0.15827643551234
0.07,-0.011112751731182,0.059116041628796,0.019880453418451,0.16747666507987
0.08,-0.013640370567387,0.051982221955626,0.02310083883011,0.17715388870213
0.09,-0.016305891172954,0.045164317093345,0.026405211247471,0.18729595640379
0.1,-0.019101824234316,0.038658285337185,0.029776254773561,0.19788462390926
0.11,-0.021514928087168,0.032644843656925,0.034017416800518,0.20579370395428
0.12,-0.023549173909685,0.027086622883305,0.039071333682973,0.21113171573939
0.13,-0.025224049262175,0.021920375552407,0.044833167133456,0.21414287643252
0.14,-0.026564726404489,0.017078345036266,0.051189924515669,0.21510355388081
0.15,-0.027597757461295,0.01249721539192,0.058036475150458,0.2142788947018
0.16,-0.028349240349569,0.0081212242491808,0.065280859746086,0.21190716343908
0.17,-0.028844089429656,0.0039027088817205,0.072844996715516,0.20819622655883
0.18,-0.029105790941603,-0.00019838474480211,0.080663596276187,0.20332498922443
0.19,-0.029156360523789,-0.0042153473260501,0.088682519250188,0.19744656436068
0.2,-0.029016376111663,-0.0081756158824581,0.096857094199474,0.19069178882145
0.21,-0.028437188822506,-0.011679004058773,0.10524938975622,0.18321216439715
0.22,-0.027444373090245,-0.014759069133312,0.11382732406397,0.17510523662275
0.23,-0.026070173934098,-0.017461568273664,0.12256229401297,0.16645673389598
0.24,-0.024347827418028,-0.019833203037044,0.13142974523902,0.15734111838387
0.25,-0.022309137123626,-0.021917093954954,0.14040902730721,0.14782272474098
0.26,-0.019983556116251,-0.023751330618772,0.14948297593531,0.13795703832917
0.27,-0.017397948313316,-0.025368855014212,0.15863742367695,0.127791911308
0.28,-0.014576644861532,-0.026797873755113,0.16786072519463,0.1173686438257
0.29,-0.011541617912503,-0.028062438104171,0.17714333042439,0.10672291706449
0.3,-0.0083126907922185,-0.029183036194656,0.18647741520517,0.095885588739613
0.31,-0.0043845216591328,-0.030134917723381,0.19422968400509,0.085740356356694
0.32,0.00019588575369417,-0.030926874464698,0.2004700044505,0.07626570058157
0.33,0.0053516224345879,-0.031559476592699,0.20534611610968,0.067391381652261
0.34,0.011001065617714,-0.032031636742773,0.20902401141085,0.059034849941756
0.35,0.017068204566887,-0.03234325066511,0.21166284195759,0.051116589261347
0.36,0.023486095375315,-0.032495990211359,0.21340579527526,0.043565694810514
0.37,0.030197339168884,-0.032493316265759,0.21437799956867,0.036321165128825
0.38,0.037153385351551,-0.032340208055483,0.21468731224093,0.029331447847657
0.39,0.044313457891035,-0.032042821863144,0.2144261322788,0.022553373899277
0.4,0.051643440098128,-0.031608162703976,0.21367343378109,0.015950965611933
0.41,0.059546995839509,-0.031006258472964,0.21142534458881,0.01010316765409
0.42,0.067976545277315,-0.030240539847832,0.20778986285303,0.0049540130778888
0.43,0.076864154282494,-0.029310139797205,0.2029181865996,0.00041994468262127
0.44,0.086140323667359,-0.02821424221812,0.1969661114206,-0.0035858244185354
0.45,0.095741491612774,-0.026953669572432,0.19007837423284,-0.007143465709716
0.46,0.10561235495885,-0.025531199124008,0.18238352639378,-0.010323357321628
0.47,0.11570597217144,-0.023951368677963,0.17399336303129,-0.013185778679103
0.48,0.12598301409965,-0.022220121171924,0.16500415264865,-0.015781727152161
0.49,0.13641076471993,-0.020344433968267,0.1554984412236,-0.018154081551749
0.5,0.14696212238131,-0.018331986389654,0.14554691123288,-0.020338786906006
0.51,0.15670701757707,-0.015845929294748,0.13571439244525,-0.02223702096659
0.52,0.16566943475598,-0.012913281789153,0.1260274601489,-0.023874366881886
0.53,0.17392009114131,-0.0095801857527478,0.11647946191261,-0.025272833065935
0.54,0.18154228960808,-0.0058964988132129,0.10705196298583,-0.026452066368372
0.55,0.18861735386269,-0.0019093651174915,0.097724154958711,-0.027429985148143
0.56,0.19521915016836,0.0023390476087431,0.088476631904504,-0.028223094365969
0.57,0.20141263269632,0.0068119863836649,0.079292645272608,-0.028846655512284
0.58,0.20725406244636,0.011477812948457,0.070158287470264,-0.029314796346341
0.59,0.21279184195905,0.016309450138642,0.061062259099738,-0.029640595727936
0.6,0.21806750654103,0.021283781524595,0.051995506238543,-0.029836156407199
0.61,0.22136900304848,0.026981729796769,0.043745154804173,-0.029913118193804
0.62,0.22280705431525,0.033351401083299,0.036262483948962,-0.029873906415551
0.63,0.22257015878078,0.040307587746452,0.029456020908279,-0.029712246894153
0.64,0.22086184606423,0.047760103588972,0.023226179070637,-0.029420888965591
0.65,0.21787460999228,0.055625339904236,0.01747955044842,-0.028994609380919
0.66,0.21378075642571,0.063830081285553,0.012133805420356,-0.028431020364109
0.67,0.2087306511546,0.072311977484329,0.0071185112240078,-0.027730463369099
0.68,0.20285396538521,0.081018703042407,0.002374325429954,-0.026895581252681
0.69,0.19626194869685,0.089906703446474,-0.0021483446621421,-0.025930822398661
0.7,0.18904988407481,0.09893990458302,-0.0064907554849548,-0.024841975462439
0.71,0.18120660131296,0.10809414228737,-0.01028906848223,-0.023396705137355
0.72,0.17280848585962,0.11734575142049,-0.013587001838531,-0.021609657833831
0.73,0.16392858488019,0.12667632934852,-0.016439147212142,-0.019503355398641
0.74,0.15463295334822,0.13607140000475,-0.0188998733683,-0.017102539484527
0.75,0.14497976413483,0.14551952638223,-0.021018968742764,-0.014431657417608
0.76,0.1350196040046,0.15501167486306,-0.02284034621169,-0.011513816836533
0.77,0.12479620647948,0.1645407328935,-0.024402058253002,-0.00837041606234
0.78,0.11434728816777,0.1741011286584,-0.02573681722256,-0.0050210787911599
0.79,0.10370535161297,0.18368852446765,-0.026872662683008,-0.0014837198434918
0.8,0.092898406339845,0.19329956695007,-0.027833624291715,0.0022253383797608
0.81,0.08288409896256,0.20128268074502,-0.02854604306489,0.0064380059042224
0.82,0.073635575662444,0.20771134032821,-0.029024281124845,0.011117332971057
0.83,0.06507437695687,0.21273676101244,-0.029277000641936,0.016203743851666
0.84,0.057109098566011,0.21652818641964,-0.029311558789712,0.021634483735332
0.85,0.049651691463625,0.21924776926387,-0.029135756907897,0.02735153785817
0.86,0.042623400611081,0.22104144933748,-0.028758330819158,0.033304219097754
0.87,0.035956152354221,0.22203687093836,-0.028188917311945,0.039449456452483
0.88,0.029592083420595,0.22234418877037,-0.027437839494479,0.04575118694426
0.89,0.023482415742956,0.22205789902039,-0.026515855616408,0.052179469373974
0.9,0.017586193289566,0.22125889110353,-0.025433925855997,0.058709577507283
0.91,0.01284434317267,0.21890207600592,-0.024134120668062,0.064274545648263
0.92,0.0091812799366873,0.21509192748769,-0.022630985689175,0.068894445866758
0.93,0.0064780865925045,0.20997082249357,-0.020942673327922,0.072630228948938
0.94,0.0046085119305134,0.2036851144444,-0.01908831676134,0.075555499414558
0.95,0.0034538174191419,0.19637133628604,-0.017086813084842,0.077744198764281
0.96,0.002907903024945,0.1881516290643,-0.014956260204343,0.079265666353122
0.97,0.0028781971996415,0.17913317963265,-0.012713702098047,0.080183025966692
0.98,0.0032848434024693,0.16940925961878,-0.010375022271681,0.080553013341278
0.99,0.0040593129888981,0.15906078813091,-0.0079549104797891,0.080426380837176
1,0.0051429266282768,0.14815795609324,-0.0054668674579202,0.079848491293267
