time,controlled,env,uncontrolled,target
0.000000000000000000e+00,2.970000000000000000e+02,2.730000000000000000e+02,2.970000000000000000e+02,2.970000000000000000e+02
9.000000000000000000e+02,2.970330263558799970e+02,2.734907862423299889e+02,2.968409754060700152e+02,2.970000000000000000e+02
1.800000000000000000e+03,2.970629196756299848e+02,2.739810469384499925e+02,2.963889442539900188e+02,2.970000000000000000e+02
2.700000000000000000e+03,2.970476608190400043e+02,2.744702571049400035e+02,2.956385779070000126e+02,2.970000000000000000e+02
3.600000000000000000e+03,2.969817054624500088e+02,2.749578928833000191e+02,2.946703505571799724e+02,2.970000000000000000e+02
4.500000000000000000e+03,2.968897213538500068e+02,2.754434321009200062e+02,2.935835820857200247e+02,2.970000000000000000e+02
5.400000000000000000e+03,2.968086260284100035e+02,2.759263548302399727e+02,2.924605750167800124e+02,2.970000000000000000e+02
6.300000000000000000e+03,2.967730790249599977e+02,2.764061439455200002e+02,2.913579780904499898e+02,2.970000000000000000e+02
7.200000000000000000e+03,2.968057715156800214e+02,2.768822856765399933e+02,2.903103263611000102e+02,2.970000000000000000e+02
8.100000000000000000e+03,2.969121561160200145e+02,2.773542701588199861e+02,2.893364061010000228e+02,2.970000000000000000e+02
9.000000000000000000e+03,2.970797139237000124e+02,2.778215919795500213e+02,2.884448161797300259e+02,2.970000000000000000e+02
9.900000000000000000e+03,2.972815402357300059e+02,2.782837507188199879e+02,2.876379430964100266e+02,2.970000000000000000e+02
1.080000000000000000e+04,2.974832262929199942e+02,2.787402514854799733e+02,2.869145542340500015e+02,2.970000000000000000e+02
1.170000000000000000e+04,2.976512978603000192e+02,2.791906054470700269e+02,2.862714087668500156e+02,2.970000000000000000e+02
1.260000000000000000e+04,2.977540899904699927e+02,2.796343303532900109e+02,2.857042290139600027e+02,2.970000000000000000e+02
1.350000000000000000e+04,2.977681438568300223e+02,2.800709510523900008e+02,2.852082737188200099e+02,2.970000000000000000e+02
1.440000000000000000e+04,2.976881283952599802e+02,2.805000000000000000e+02,2.847786696859200219e+02,2.970000000000000000e+02
1.530000000000000000e+04,2.975307194846300263e+02,2.809210177597599909e+02,2.844105989449299727e+02,2.970000000000000000e+02
1.620000000000000000e+04,2.973309458040300228e+02,2.813335534952900048e+02,2.840994004463100282e+02,2.970000000000000000e+02
1.710000000000000000e+04,2.971333123215699743e+02,2.817371654530199976e+02,2.838406216574600194e+02,2.970000000000000000e+02
1.800000000000000000e+04,2.969806669810499784e+02,2.821314214351299938e+02,2.836300410960399745e+02,2.970000000000000000e+02
1.890000000000000000e+04,2.969037648815699981e+02,2.825158992624499774e+02,2.834636742466000214e+02,2.970000000000000000e+02
1.980000000000000000e+04,2.969140837384799738e+02,2.828901872265000179e+02,2.833377701924600274e+02,2.970000000000000000e+02
2.070000000000000000e+04,2.970015555661900066e+02,2.832538845303399739e+02,2.832488032619700107e+02,2.970000000000000000e+02
2.160000000000000000e+04,2.971376315229099987e+02,2.836066017178000038e+02,2.831934621948299764e+02,2.970000000000000000e+02
2.250000000000000000e+04,2.972827821826500099e+02,2.839479610904700166e+02,2.831686382758999798e+02,2.970000000000000000e+02
2.340000000000000000e+04,2.973964758194200044e+02,2.842775971121799898e+02,2.831714132603499934e+02,2.970000000000000000e+02
2.430000000000000000e+04,2.974471254004000116e+02,2.845951568004400087e+02,2.831990475481300109e+02,2.970000000000000000e+02
2.520000000000000000e+04,2.974195721108799830e+02,2.849003001043699896e+02,2.832489688511699910e+02,2.970000000000000000e+02
2.610000000000000000e+04,2.973183431444300027e+02,2.851927002688699986e+02,2.833187614723900083e+02,2.970000000000000000e+02
2.700000000000000000e+04,2.971660039088000076e+02,2.854720441845399819e+02,2.834061562433200265e+02,2.970000000000000000e+02
2.790000000000000000e+04,2.969971435361999852e+02,2.857380327229000159e+02,2.835090211266399933e+02,2.970000000000000000e+02
2.880000000000000000e+04,2.968495857639700262e+02,2.859903810567699907e+02,2.836253524673400079e+02,2.970000000000000000e+02
2.970000000000000000e+04,2.967550518436800076e+02,2.862288189652300048e+02,2.837532668639299800e+02,2.970000000000000000e+02
3.060000000000000000e+04,2.967315745133799965e+02,2.864530911229899743e+02,2.838909936259199753e+02,2.970000000000000000e+02
3.150000000000000000e+04,2.967794700927900067e+02,2.866629573738200065e+02,2.840368677812800229e+02,2.970000000000000000e+02
3.240000000000000000e+04,2.968817554000099790e+02,2.868581929876700087e+02,2.841893235974699792e+02,2.970000000000000000e+02
3.330000000000000000e+04,2.970087844261800001e+02,2.870385889013600149e+02,2.843468885808200071e+02,2.970000000000000000e+02
3.420000000000000000e+04,2.971258537777999891e+02,2.872039519424300238e+02,2.845081779202799908e+02,2.970000000000000000e+02
3.510000000000000000e+04,2.972018343735200006e+02,2.873541050359800124e+02,2.846718893437899851e+02,2.970000000000000000e+02
3.600000000000000000e+04,2.972166896492599903e+02,2.874888873943399972e+02,2.848367983569800117e+02,2.970000000000000000e+02
3.690000000000000000e+04,2.971660721389000059e+02,2.876081546891600169e+02,2.850017538362000096e+02,2.970000000000000000e+02
3.780000000000000000e+04,2.970619550004399798e+02,2.877117792060499823e+02,2.851656739497100261e+02,2.970000000000000000e+02
3.870000000000000000e+04,2.969292538090500102e+02,2.877996499812700222e+02,2.853275423823200185e+02,2.970000000000000000e+02
3.960000000000000000e+04,2.967993759620100036e+02,2.878716729206100240e+02,2.854864048409900192e+02,2.970000000000000000e+02
4.050000000000000000e+04,2.967023605950399769e+02,2.879277709000800201e+02,2.856413658199400061e+02,2.970000000000000000e+02
4.140000000000000000e+04,2.966595706252899731e+02,2.879678838485800156e+02,2.857915856056899884e+02,2.970000000000000000e+02
4.230000000000000000e+04,2.966787091662599778e+02,2.879919688121499917e+02,2.859362775037499773e+02,2.970000000000000000e+02
4.320000000000000000e+04,2.967523149406500238e+02,2.880000000000000000e+02,2.860747052697200274e+02,2.970000000000000000e+02
4.410000000000000000e+04,2.968600083766800140e+02,2.879919688121499917e+02,2.862061807291800051e+02,2.970000000000000000e+02
4.500000000000000000e+04,2.969738351282999815e+02,2.879678838485800156e+02,2.863300615714899777e+02,2.970000000000000000e+02
4.590000000000000000e+04,2.970653142152199848e+02,2.879277709000800201e+02,2.864457493039899987e+02,2.970000000000000000e+02
4.680000000000000000e+04,2.971124195946400164e+02,2.878716729206100240e+02,2.865526873536099970e+02,2.970000000000000000e+02
4.770000000000000000e+04,2.971047893056500016e+02,2.877996499812700222e+02,2.866503593044899958e+02,2.970000000000000000e+02
4.860000000000000000e+04,2.970459371023799804e+02,2.877117792060499823e+02,2.867382872601900203e+02,2.970000000000000000e+02
4.950000000000000000e+04,2.969520086114000037e+02,2.876081546891600169e+02,2.868160303207200172e+02,2.970000000000000000e+02
5.040000000000000000e+04,2.968474819448899780e+02,2.874888873943399972e+02,2.868831831646099886e+02,2.970000000000000000e+02
5.130000000000000000e+04,2.967589490167400186e+02,2.873541050359800124e+02,2.869393747273899749e+02,2.970000000000000000e+02
5.220000000000000000e+04,2.967085518080199904e+02,2.872039519424300238e+02,2.869842669683500276e+02,2.970000000000000000e+02
5.310000000000000000e+04,2.967086886359800246e+02,2.870385889013600149e+02,2.870175537179200091e+02,2.970000000000000000e+02
5.400000000000000000e+04,2.967592501136800252e+02,2.868581929876700087e+02,2.870389595986799804e+02,2.970000000000000000e+02
5.490000000000000000e+04,2.968479908398999783e+02,2.866629573738200065e+02,2.870482390135200035e+02,2.970000000000000000e+02
5.580000000000000000e+04,2.969538590735099888e+02,2.864530911229899743e+02,2.870451751949299819e+02,2.970000000000000000e+02
5.670000000000000000e+04,2.970523880416499765e+02,2.862288189652300048e+02,2.870295793096599937e+02,2.970000000000000000e+02
5.760000000000000000e+04,2.971217730734700240e+02,2.859903810567699907e+02,2.870012896138400151e+02,2.970000000000000000e+02
5.850000000000000000e+04,2.971481290954799874e+02,2.857380327229000159e+02,2.869601706534800201e+02,2.970000000000000000e+02
5.940000000000000000e+04,2.971286651967399735e+02,2.854720441845399819e+02,2.869061125060699737e+02,2.970000000000000000e+02
6.030000000000000000e+04,2.970720574421999913e+02,2.851927002688699986e+02,2.868390300591599953e+02,2.970000000000000000e+02
6.120000000000000000e+04,2.969960063294900010e+02,2.849003001043699896e+02,2.867588623220199793e+02,2.970000000000000000e+02
6.210000000000000000e+04,2.969226543017800282e+02,2.845951568004400087e+02,2.866655717669499950e+02,2.970000000000000000e+02
6.300000000000000000e+04,2.968730434596899954e+02,2.842775971121799898e+02,2.865591436970199766e+02,2.970000000000000000e+02
6.390000000000000000e+04,2.968619957046699938e+02,2.839479610904700166e+02,2.864395856371600075e+02,2.970000000000000000e+02
6.480000000000000000e+04,2.968946559440299779e+02,2.836066017178000038e+02,2.863069267459400180e+02,2.970000000000000000e+02
6.570000000000000000e+04,2.969654978461899759e+02,2.832538845303399739e+02,2.861612172454100005e+02,2.970000000000000000e+02
6.660000000000000000e+04,2.970599671533699961e+02,2.828901872265000179e+02,2.860025278667999942e+02,2.970000000000000000e+02
6.750000000000000000e+04,2.971582875628100169e+02,2.825158992624499774e+02,2.858309493098299754e+02,2.970000000000000000e+02
6.840000000000000000e+04,2.972404383734800035e+02,2.821314214351299938e+02,2.856465917137199995e+02,2.970000000000000000e+02
6.930000000000000000e+04,2.972910539163099770e+02,2.817371654530199976e+02,2.854495841381499872e+02,2.970000000000000000e+02
7.020000000000000000e+04,2.973030485312900169e+02,2.813335534952900048e+02,2.852400740524399794e+02,2.970000000000000000e+02
7.110000000000000000e+04,2.972791157129100270e+02,2.809210177597599909e+02,2.850182268315700185e+02,2.970000000000000000e+02
7.200000000000000000e+04,2.972307936023499906e+02,2.805000000000000000e+02,2.847842252576800206e+02,2.970000000000000000e+02
7.290000000000000000e+04,2.971753928039099719e+02,2.800709510523900008e+02,2.845382690257000036e+02,2.970000000000000000e+02
7.380000000000000000e+04,2.971315971856899978e+02,2.796343303532900109e+02,2.842805742522299965e+02,2.970000000000000000e+02
7.470000000000000000e+04,2.971148504665699761e+02,2.791906054470700269e+02,2.840113729864900165e+02,2.970000000000000000e+02
7.560000000000000000e+04,2.971336629740699777e+02,2.787402514854799733e+02,2.837309127225900056e+02,2.970000000000000000e+02
7.650000000000000000e+04,2.971877164704699794e+02,2.782837507188199879e+02,2.834394559122300166e+02,2.970000000000000000e+02
7.740000000000000000e+04,2.972606622062199904e+02,2.778215919795500213e+02,2.831372794772599946e+02,2.970000000000000000e+02
7.830000000000000000e+04,2.973243252973200015e+02,2.773542701588199861e+02,2.828246743213799732e+02,2.970000000000000000e+02
7.920000000000000000e+04,2.973499503171499896e+02,2.768822856765399933e+02,2.825019448405499816e+02,2.970000000000000000e+02
8.010000000000000000e+04,2.973176666595300048e+02,2.764061439455200002e+02,2.821694084315799955e+02,2.970000000000000000e+02
8.100000000000000000e+04,2.972217703863299789e+02,2.759263548302399727e+02,2.818273949986399884e+02,2.970000000000000000e+02
8.190000000000000000e+04,2.970717914777899864e+02,2.754434321009200062e+02,2.814762464572299905e+02,2.970000000000000000e+02
8.280000000000000000e+04,2.968897566184800212e+02,2.749578928833000191e+02,2.811163162354899896e+02,2.970000000000000000e+02
8.370000000000000000e+04,2.967045506993100048e+02,2.744702571049400035e+02,2.807479687726399789e+02,2.970000000000000000e+02
8.460000000000000000e+04,2.965448275470399722e+02,2.739810469384499925e+02,2.803715790142899777e+02,2.970000000000000000e+02
8.550000000000000000e+04,2.964322036142900174e+02,2.734907862423299889e+02,2.799875319047500284e+02,2.970000000000000000e+02
8.640000000000000000e+04,2.963763465701799760e+02,2.730000000000000000e+02,2.795962218761400209e+02,2.970000000000000000e+02
